Adat,അടാട്ട്
Adichanalloor,ആദിച്ചനല്ലൂര്‍
Adimaly,അടിമാലി
Adimaly,അടിമാലി
Adoor,അടൂര്‍
Agali,അഗളി
Aikaranad,ഐക്കരനാട്
Ajanur,അജാനൂര്‍
Akalakunnam,അകലക്കുന്നം
Akathethara,അകത്തേത്തറ
Ala,ആല
Alagappanagar,അളഗപ്പനഗര്‍
Alakode,ആലക്കോട്
Alakode,ആലക്കോട്
Alamkode,ആലംകോട്
Alanallur,അലനല്ലൂര്‍
Alangad,ആലങ്ങാട്
Alangad,ആലങ്ങാട്
Alappad,ആലപ്പാട്
Alappuzha,ആലപ്പുഴ
Alathur,ആലത്തൂര്‍
Alathur,ആലത്തൂര്‍
Alayamon,അലയമണ്‍
Aliparamba,ആലിപ്പറമ്പ്
Aloor,ആളൂര്‍
Aluva,ആലുവ
Amarambalam,അമരമ്പലം
Ambalappara,അമ്പലപ്പാറ
Ambalapuzha,അമ്പലപ്പുഴ
Ambalapuzha North,അമ്പലപ്പുഴ വടക്ക്
Ambalapuzha South,അമ്പലപ്പുഴ തെക്ക്
Ambalavayal,അമ്പലവയല്‍
Amballoor,ആമ്പല്ലൂര്‍
Amboori,അമ്പൂരി
Anad,ആനാട്
Anakkara,ആനക്കര
Anakkayam,ആനക്കയം
Ananganadi,അനങ്ങനടി
Anchal,അഞ്ചല്‍
Anchal,അഞ്ചല്‍
Anchuthengu,അഞ്ചുതെങ്ങ്
Andoorkonam,അണ്ടൂര്‍ക്കോണം
Angadippuram,അങ്ങാടിപ്പുറം
Angamaly,അങ്കമാലി
Angamaly,അങ്കമാലി
Anicadu,ആനിക്കാട്
Anjarakandy,അഞ്ചരക്കണ്ടി
Annamanada,അന്നമനട
Anthikad,അന്തിക്കാട്
Anthikad,അന്തിക്കാട്
Arakulam,അറക്കുളം
Arakuzha,ആരക്കുഴ
Aralam,ആറളം
Aranmula,ആറന്മുള
Arattupuzha,ആറാട്ടുപുഴ
Areacode,അരീക്കോട്
Areacode,അരീക്കോട്
Arikkulam,അരിക്കുളം
Arimpur,അരിമ്പൂര്‍
ARNagar,അബ്ദുറഹിമാന്‍ നഗര്‍
Arookutty,അരൂക്കുറ്റി
Aroor,അരൂര്‍
Arpookara,ആര്‍പ്പൂക്കര
Aruvappulam,അരുവാപ്പുലം
Aruvikkara,അരുവിക്കര
Aryad,ആര്യാട്
Aryad,ആര്യാട്
Aryanad,ആര്യനാട്
Aryancode,ആര്യങ്കോട്
Aryankavu,ആര്യങ്കാവ്
Asamannoor,അശമന്നൂര്‍
Athavanad,ആതവനാട്
Athirampuzha,അതിരമ്പുഴ
Athirappilly,അതിരപ്പിള്ളി
Athiyannoor,അതിയന്നൂര്‍
Athiyannoor,അതിയന്നൂര്‍
Atholi,അത്തോളി
Attappady,അട്ടപ്പാടി
Attingal,ആറ്റിങ്ങല്‍
Avanur,അവണൂര്‍
Avinissery,ആവിണിശ്ശേരി
Avoly,ആവോലി
Ayancheri,ആയഞ്ചരി
Ayarkunnam,അയര്‍കുന്നം
Ayavana,ആയവന
Ayiloor,അയിലൂര്‍
Aymanam,അയ്മനം
Ayroor,അയിരൂര്‍
Ayyampuzha,അയ്യമ്പുഴ
Ayyankunnu,അയ്യന്‍കുന്ന്
AyyappanCoil,അയ്യപ്പന്‍ കോവില്‍
Azhikode,അഴീക്കോട്
Azhiyur,അഴിയൂര്‍
Azhoor,അഴൂര്‍
Azhutha,അഴുത
Badiadka,ബദിയഡുക്ക
Balal,ബളാല്‍
Balaramapuram,ബാലരാമപുരം
Balussery,ബാലുശ്ശേരി
Balussery,ബാലുശ്ശേരി
Bedadka,ബേഡഡുക്ക
Belloor,ബേളൂര്‍
Bharananganam,ഭരണങ്ങാനം
Bharanickavu,ഭരണിക്കാവ്
Bharanickavu,ഭരണിക്കാവ്
Budhanoor,ബുധനൂര്‍
BysonValley,ബൈസണ്‍ വാലി
Chadayamangalam,ചടയമംഗലം
Chadayamangalam,ചടയമംഗലം
Chakkittapara,ചക്കിട്ടപ്പാറ
Chakkupallam,ചക്കുപള്ളം
Chalakudy,ചാലക്കുടി
Chalakudy,ചാലക്കുടി
Chalavara,ചളവറ
Chalissery,ചാലിശ്ശേരി
Chaliyar,ചാലിയാര്‍
Champakulam,ചമ്പക്കുളം
Champakulam,ചമ്പക്കുളം
Changanassery,ചങ്ങനാശ്ശേരി
Changaroth,ചങ്ങരോത്ത്
Chapparapadava,ചപ്പാരപ്പടവ്
Chathamangalam,ചാത്തമംഗലം
Chathannoor,ചാത്തന്നൂര്‍
Chavakkad,ചാവക്കാട്
Chavakkad,ചാവക്കാട്
Chavara,ചവറ
Chavara,ചവറ
Chazhur,ചാഴൂര്‍
Cheacode,ചീക്കോട്
Chekkiad,ചെക്യാട്
Chelakkara,ചേലക്കര
Chelannur,ചേളന്നൂര്‍
Chelannur,ചേളന്നൂര്‍
Chelembra,ചേലേമ്പ്ര
Chellanam,ചെല്ലാനം
Chemanchery,ചേമഞ്ചരി
Chembilode,ചെമ്പിലോട്
Chemmaruthy,ചെമ്മരുതി
Chemnad,ചെമ്മനാട്
Chempu,ചെമ്പ്
Chendamangalam,ചേന്ദമംഗലം
Chengala,ചെങ്കള
Chengalayi,ചെങ്ങളായി
Chengamanad,ചെങ്ങമനാട്
Chengannur,ചെങ്ങന്നൂര്‍
Chengannur,ചെങ്ങന്നൂര്‍
Chengottukavu,ചേങ്ങോട്ടുകാവ്
Chenkal,ചെങ്കല്‍
Chennam Pallippuram,ചേന്നം പള്ളിപ്പുറം
Chenneerkara,ചെന്നീര്‍ക്കര
Chennithala-Thripperumthura,ചെന്നിത്തല- തൃപ്പെരുന്തുറ
Cheppad,ചേപ്പാട്
Cheranalloor,ചേരാനല്ലൂര്‍
Cheriyamundam,ചെറിയമുണ്ടം
Cheriyanad,ചെറിയനാട്
Cherpu,ചേര്‍പ്പ്
Cherpu,ചേര്‍പ്പ്
Cherthala,ചേര്‍ത്തല
Cherthala South,ചേര്‍ത്തല തെക്ക്
Cherukavu,ചെറുകാവ്
Cherukole,ചെറുകോല്‍
Cherukunnu,ചെറുകുന്ന്
Cherunniyoor,ചെറുന്നിയൂര്‍
Cherupuzha,ചെറുപുഴ
Cheruthana,ചെറുതന
Cheruthazham,ചെറുതാഴം
Cheruvannur,ചെറുവണ്ണൂര്‍
Cheruvathur,ചെറുവത്തൂര്‍
Chettikulangara,ചെട്ടികുളങ്ങര
Chingoli,ചിങ്ങോലി
Chinnakanal,ചിന്നക്കനാല്‍
Chirakkadavu,ചിറക്കടവ്
Chirakkal,ചിറക്കല്‍
Chirakkara,ചിറക്കര
Chirayinkeezhu,ചിറയിന്‍കീഴ്
Chirayinkeezhu,ചിറയിന്‍കീഴ്
Chithara,ചിതറ
Chittar,ചിറ്റാര്‍
Chittariparamba,ചിറ്റാരിപ്പറമ്പ്
Chittattukara,ചിറ്റാറ്റുകര
Chittumala,ചിറ്റുമല
Chittur,ചിറ്റൂര്‍
Chittur Tattamangalam,ചിറ്റൂര്‍ തത്തമംഗലം
Chokkad,ചോക്കാട്
Chokli,ചൊക്ളി
Choondal,ചൂണ്ടല്‍
Choornikkara,ചൂര്‍ണ്ണിക്കര
Chorode,ചോറോട്
Chottanikkara,ചോറ്റാനിക്കര
Chowannur,ചൊവ്വന്നൂര്‍
Chowannur,ചൊവ്വന്നൂര്‍
Chunakara,ചുനക്കര
Chungathara,ചുങ്കത്തറ
Clappana,ക്ളാപ്പന
Cochin,കൊച്ചി
Delampady,ദേലംപാടി
Desamangalam,ദേശമംഗലം
Devikulam,ദേവികുളം
Devikulam,ദേവികുളം
Devikulangara,ദേവികുളങ്ങര
Dharmadam,ധര്‍മ്മടം
East Eleri,ഈസ്റ് എളേരി
East Kallada,കിഴക്കേ കല്ലട
Edacheri,എടച്ചേരി
Edakkad,എടക്കാട്
Edakkara,എടക്കര
Edakkattuvayal,എടയ്ക്കാട്ടുവയല്‍
Edamalakkudy,ഇടമലക്കുടി
Edamulackal,ഇടമുളയ്ക്കല്‍
Edapal,എടപ്പാള്‍
Edappally,ഇടപ്പള്ളി
Edappatta,എടപ്പറ്റ
Edarikode,എടരിക്കോട്
Edathala,എടത്തല
Edathiruthy,എടത്തിരുത്തി
Edathua,എടത്വാ
Edava,ഇടവ
Edavaka,എടവക
Edavanakkad,എടവനക്കാട്
Edavanna,എടവണ്ണ
Edavetty,ഇടവെട്ടി
Edavilangu,എടവിലങ്ങ്
Edayur,എടയൂര്‍
Elakamon,ഇലകമണ്‍
Elamadu,ഇളമാട്
Elamkulam,ഏലംകുളം
Elampalloor,ഇളംപള്ളൂര്‍
Elanji,ഇലഞ്ഞി
Elankunnapuzha,എളങ്കുന്നപ്പുഴ
Elanthoor,ഇലന്തൂര്‍
Elanthoor,ഇലന്തൂര്‍
Elappara,ഏലപ്പാറ
Elappully,എലപ്പുള്ളി
Elavally,എളവള്ളി
Elavancherry,എലവഞ്ചരി
Elemdesam,ഇളംദേശം
Elikulam,എലിക്കുളം
Eloor,ഏലൂര്‍
Enadimangalam,ഏനാദിമംഗലം
Engandiyur,ഏങ്ങണ്ടിയൂര്‍
Enmakaje,എന്‍മകജെ
Eramala,ഏറാമല
Eramam Kuttur,എരമം കുറ്റൂര്‍
Eranholi,എരഞ്ഞോളി
Erathu,ഏറത്ത്
Erattayar,ഇരട്ടയാര്‍
Erattupetta,ഈരാറ്റുപേട്ട
Eraviperoor,ഇരവിപേരൂര്‍
Erimayur,എരിമയൂര്‍
Eriyad,എറിയാട്
Erumapetty,എരുമപ്പെട്ടി
Erumely,എരുമേലി
Eruthenpathy,എരുത്തേമ്പതി
Eruvessy,എരുവേശ്ശി
Ettumanoor,ഏറ്റുമാനൂര്‍
Ezhamkulam,ഏഴംകുളം
Ezhikkara,ഏഴിക്കര
Ezhome,ഏഴോം
Ezhukone,എഴുകോണ്‍
Ezhumattoor,എഴുമറ്റൂര്‍
Ezhupunna,എഴുപുന്ന
Guruvayur,ഗുരുവായൂര്‍
Haripad,ഹരിപ്പാട്
Idukki,ഇടുക്കി
IdukkiKanjikuzhy,ഇടുക്കി കഞ്ഞിക്കുഴി
Irikkur,ഇരിക്കൂര്‍
Irikkur,ഇരിക്കൂര്‍
Irimbiliyam,ഇരിമ്പിളിയം
Irinjalakuda,ഇരിങ്ങാലക്കുട
Irinjalakuda,ഇരിങ്ങാലക്കുട
Iritty,ഇരിട്ടി
Ithikkara,ഇത്തിക്കര
Ittiva,ഇട്ടിവ
Kadakkal,കടയ്ക്കല്‍
Kadakkarappally,കടക്കരപ്പള്ളി
Kadakkavoor,കടയ്ക്കാവൂര്‍
Kadalundi,കടലുണ്ടി
Kadamakudy,കടമക്കുടി
Kadambur,കടമ്പൂര്‍
Kadampanad,കടമ്പനാട്
Kadampazhipuram,കടമ്പഴിപ്പുറം
Kadanad,കടനാട്
Kadangode,കടങ്ങോട്
Kadannappally Panapuzha,കടന്നപ്പള്ളി പാണപ്പുഴ
Kadaplamattom,കടപ്ളാമറ്റം
Kadappuram,കടപ്പുറം
Kadapra,കടപ്ര
Kadavallur,കടവല്ലൂര്‍
Kadinamkulam,കഠിനംകുളം
Kadirur,കതിരൂര്‍
Kadukutty,കാടുകുറ്റി
Kadungalloor,കടുങ്ങല്ലൂര്‍
Kaduthuruthy,കടുത്തുരുത്തി
Kaduthuruthy,കടുത്തുരുത്തി
Kainakary,കൈനകരി
Kaipamangalam,കൈപ്പമംഗലം
Kaiparambu,കൈപ്പറമ്പ്
Kakkodi,കക്കോടി
Kakkur,കാക്കൂര്‍
Kaladi,കാലടി
Kalady,കാലടി
Kalamassery,കളമശ്ശേരി
Kalanjoor,കലഞ്ഞൂര്‍
Kalikavu,കാളികാവ്
Kalikavu,കാളികാവ്
Kallar,കള്ളാര്‍
Kallara,കല്ലറ
Kallara,കല്ലറ
Kalliasseri,കല്ല്യാശ്ശേരി
Kallikkadu,കള്ളിക്കാട്
Kalliyoor,കല്ലിയൂര്‍
Kallooppara,കല്ലൂപ്പാറ
Kalloorkad,കല്ലൂര്‍ക്കാട്
Kalluvathukkal,കല്ലുവാതുക്കല്‍
Kalpakanchery,കല്‍പകഞ്ചരി
Kalpetta,കല്‍പ്പറ്റ
Kalpetta,കല്‍പ്പറ്റ
Kamakshy,കാമാക്ഷി
Kanakkary,കാണക്കാരി
Kanchiyar,കാഞ്ചിയാര്‍
Kandalloor,കണ്ടല്ലൂര്‍
Kandanassery,കണ്ടാണശ്ശേരി
Kangazha,കങ്ങഴ
Kanhangad,കാഞ്ഞങ്ങാട്
Kanhangad,കാഞ്ഞങ്ങാട്
Kanhirapuzha,കാഞ്ഞിരപുഴ
Kanichar,കണിച്ചാര്‍
Kaniyambetta,കണിയാമ്പറ്റ
Kanjikuzhy,കഞ്ഞിക്കുഴി
Kanjikuzhy,കഞ്ഞിക്കുഴി
Kanjiramkulam,കാഞ്ഞിരംകുളം
Kanjirappally,കാഞ്ഞിരപ്പള്ളി
Kanjirappally,കാഞ്ഞിരപ്പള്ളി
Kanjoor,കാഞ്ഞൂര്‍
Kankol - Alappadamba,കാങ്കോല്‍ - ആലപ്പടമ്പ
Kannadi,കണ്ണാടി
Kannamangalam,കണ്ണമംഗലം
Kannambra,കണ്ണമ്പ്ര
Kannapuram,കണ്ണപുരം
Kannur,കണ്ണൂര്‍
Kanthalloor,കാന്തല്ലൂര്‍
Kappur,കപ്പൂര്‍
Karadka,കാറഡുക്ക
Karakulam,കരകുളം
Karakurussi,കാരാകുറുശ്ശി
Karalam,കാറളം
Karassery,കാരശ്ശേരി
Karavaloor,കരവാളൂര്‍
Karavaram,കരവാരം
Kareepra,കരീപ്ര
Karimannoor,കരിമണ്ണൂര്‍
Karimba,കരിമ്പ
Karimkunnam,കരിങ്കുന്നം
Karimpuzha,കരിമ്പുഴ
Karivellur Peralam,കരിവെള്ളൂര്‍ പെരളം
Karode,കാരോട്
Karoor,കരൂര്‍
Karthikappally,കാര്‍ത്തികപ്പള്ളി
Karukachal,കറുകച്ചാല്‍
Karukutty,കറുകുറ്റി
Karulai,കരുളായ്
Karumallur,കരുമാല്ലൂര്‍
Karumkulam,കരുംകുളം
Karunagappally,കരുനാഗപ്പള്ളി
Karunapuram,കരുണാപുരം
Karuvarakundu,കരുവാരകുണ്ട്
Karuvatta,കരുവാറ്റ
Kasaragod,കാസര്‍കോഡ്
Kasaragod,കാസര്‍കോഡ്
Kattakada,കാട്ടാക്കട
Kattakampal,കാട്ടകാമ്പാല്‍
Kattappana,കട്ടപ്പന
Kattippara,കട്ടിപ്പാറ
Kattoor,കാട്ടൂര്‍
Kavalam,കാവാലം
Kavalangad,കവളങ്ങാട്
Kavanur,കാവനൂര്‍
Kavassery,കാവശ്ശേരി
Kavilumpara,കാവിലുമ്പാറ
Kaviyoor,കവിയൂര്‍
Kayakkody,കായക്കൊടി
Kayamkulam,കായംകുളം
Kayanna,കായണ്ണ
Kayyur Cheemeni,കയ്യൂര്‍ ചീമേനി
Kazhakuttom,കഴക്കൂട്ടം
Keerampara,കീരംപാറ
Keezhallur,കീഴല്ലൂര്‍
Keezhariyur,കീഴരിയൂര്‍
Keezhattur,കീഴാറ്റൂര്‍
Keezhmad,കീഴ്മാട്
Keezhuparamba,കീഴുപറമ്പ്
Kelakam,കേളകം
Keralassery,കേരളശ്ശേരി
Kidangoor,കിടങ്ങൂര്‍
Kilimanoor,കിളിമാനൂര്‍
Kilimanoor,കിളിമാനൂര്‍
Kinanoor - Karinthalam,കിനാനൂര്‍ കരിന്തളം
Kizhakkambalam,കിഴക്കമ്പലം
Kizhakkencherry,കിഴക്കഞ്ചരി
Kizhakkoth,കിഴക്കോത്ത്
Kizhuvilam,കിഴുവിലം
Kodakara,കൊടകര
Kodakara,കൊടകര
Kodamthuruth,കോടംതുരുത്ത്
Kodanchery,കോടഞ്ചരി
Kodassery,കോടശ്ശേരി
Kodikulam,കോടിക്കുളം
Kodiyathur,കൊടിയത്തൂര്‍
KodomBelur,കോടോം ബേളൂര്‍
Kodumbu,കൊടുമ്പ്
Kodumon,കൊടുമണ്‍
Kodungallur,കൊടുങ്ങല്ലൂര്‍
Kodur,കോഡൂര്‍
Koduvally,കൊടുവള്ളി
Koduvayur,കൊടുവായൂര്‍
Koipuram,കോയിപ്രം
Koipuram,കോയിപ്രം
Kokkayar,കൊക്കയാര്‍
Kolachery,കൊളച്ചേരി
Kolayad,കോളയാട്
Kolazhy,കോലഴി
Kollam,കൊല്ലം
Kollayil,കൊല്ലയില്‍
Kollengode,കൊല്ലങ്കോട്
Kollengode,കൊല്ലങ്കോട്
Kondazhy,കൊണ്ടാഴി
Kondotty,കൊണ്ടോട്ടി
Kongad,കോങ്ങാട്
Konnathady,കൊന്നത്തടി
Konni,കോന്നി
Konni,കോന്നി
Koodali,കൂടാളി
Koodaranhi,കൂടരഞ്ഞി
Koorachundu,കൂരാച്ചുണ്ട്
Kooroppada,കൂരോപ്പട
Koothali,കൂത്താളി
Koottickal,കൂട്ടിക്കല്‍
Koottilangadi,കൂട്ടിലങ്ങാടി
Koovappady,കൂവപ്പടി
Koovappady,കൂവപ്പടി
Koppam,കൊപ്പം
Koratty,കൊരട്ടി
Koruthodu,കോരുത്തോട്
Kothamangalam,കോതമംഗലം
Kothamangalam,കോതമംഗലം
Kottakkal,കോട്ടക്കല്‍
Kottamkara,കൊറ്റങ്കര
Kottanad,കൊറ്റനാട്
Kottangal,കോട്ടാങ്ങല്‍
Kottappady,കോട്ടപ്പടി
Kottarakara,കൊട്ടാരക്കര
Kottathara,കോട്ടത്തറ
Kottayam,കോട്ടയം
Kottayam,കോട്ടയം
Kottayi,കോട്ടായി
Kottiyoor,കൊട്ടിയൂര്‍
Kottopadam,കോട്ടോപ്പാടം
Kottukal,കോട്ടുകാല്‍
Kottur,കോട്ടൂര്‍
Kottuvally,കോട്ടുവള്ളി
Koyilandy,കൊയിലാണ്ടി
Kozhencherry,കോഴഞ്ചരി
Kozhikode,കോഴിക്കോട്
Kozhinjampara,കൊഴിഞ്ഞാമ്പാറ
Kozhuvanal,കൊഴുവനാല്‍
Krishnapuram,കൃഷ്ണപുരം
Kudayathoor,കുടയത്തൂര്‍
Kulakkada,കുളക്കട
Kulanada,കുളനട
Kulasekharapuram,കുലശേഖരപുരം
Kulathoor,കുളത്തൂര്‍
Kulathupuzha,കുളത്തൂപ്പുഴ
Kulukkallur,കുലുക്കല്ലൂര്‍
Kumarakom,കുമരകം
Kumaramangalam,കുമാരമംഗലം
Kumaramputhur,കുമരംപുത്തൂര്‍
Kumarapuram,കുമാരപുരം
Kumbadaje,കുംബഡാജെ
Kumbalam,കുമ്പളം
Kumbalanghi,കുമ്പളങ്ങി
Kumbla,കുമ്പള
Kumily,കുമിളി
Kummil,കുമ്മിള്‍
Kundara,കുണ്ടറ
Kunhimangalam,കുഞ്ഞിമംഗലം
Kunnamangalam,കുന്ദമംഗലം
Kunnamangalam,കുന്ദമംഗലം
Kunnamkulam,കുന്നംകുളം
Kunnamthanam,കുന്നന്താനം
Kunnathoor,കുന്നത്തൂര്‍
Kunnathukal,കുന്നത്തുകാല്‍
Kunnathunad,കുന്നത്തുനാട്
Kunnothuparamba,കുന്നാത്തുപറമ്പ്
Kunnukara,കുന്നുകര
Kunnummal,കുന്നുമ്മല്‍
Kunnummal,കുന്നുമ്മല്‍
Kuravilangad,കുറവിലങ്ങാട്
Kurichy,കുറിച്ചി
Kurumathur,കുറുമാത്തൂര്‍
Kuruva,കുറുവ
Kuruvattoor,കുരുവട്ടൂര്‍
Kuthanur,കുത്തന്നൂര്‍
Kuthiathod,കുത്തിയതോട്
Kuthuparamba,കൂത്തുപറമ്പ്
Kuthuparamba,കൂത്തുപറമ്പ്
Kuttampuzha,കുട്ടമ്പുഴ
Kuttiadi,കുറ്റ്യാടി
Kuttiattoor,കുറ്റ്യാട്ടൂര്‍
Kuttichal,കുറ്റിച്ചല്‍
Kuttikol,കുറ്റിക്കോല്‍
Kuttippuram,കുറ്റിപ്പുറം
Kuttippuram,കുറ്റിപ്പുറം
Kuttoor,കുറ്റൂര്‍
Kuzhalmannam,കുഴല്‍മന്ദം
Kuzhalmannam,കുഴല്‍മന്ദം
Kuzhimanna,കുഴിമണ്ണ
Kuzhuppilly,കുഴുപ്പിള്ളി
Kuzhur,കുഴൂര്‍
Lakkidi - Perur,ലെക്കിടി പേരൂര്‍
Lalam,ളാലം
Madakkathara,മാടക്കത്തറ
Madappally,മാടപ്പള്ളി
Madappally,മാടപ്പള്ളി
Madavoor,മടവൂര്‍
Madavoor,മടവൂര്‍
Madayi,മാടായി
Madhur,മധൂര്‍
Madikai,മടിക്കൈ
Makkaraparamba,മക്കരപറമ്പ്
Mala,മാള
Mala,മാള
Malampuzha,മലമ്പുഴ
Malampuzha,മലമ്പുഴ
Malappattam,മലപ്പട്ടം
Malappuram,മലപ്പുറം
Malappuram,മലപ്പുറം
Malayalapuzha,മലയാലപ്പുഴ
MalayattoorNeeleswaram,മലയാറ്റൂര്‍ നീലേശ്വരം
Malayinkeezh,മലയിന്‍കീഴ്
Mallappally,മല്ലപ്പള്ളി
Mallappally,മല്ലപ്പള്ളി
Mallappuzhassery,മല്ലപ്പുഴശ്ശേരി
Malur,മാലൂര്‍
Mampad,മമ്പാട്
Manakkad,മണക്കാട്
Manalur,മണലൂര്‍
Manamboor,മണമ്പൂര്‍
Mananthavady,മാനന്തവാടി
Manarcadu,മണര്‍കാട്
Maneed,മണീട്
Mangalam,മംഗലം
Mangalapuram,മംഗലപുരം
Mangalpady,മംഗല്‍പാടി
Mangattidam,മാങ്ങാട്ടിടം
Manickal,മാണിക്കല്‍
Manimala,മണിമല
Maniyur,മണിയൂര്‍
Manjalloor,മഞ്ഞള്ളൂര്‍
Manjapra,മഞ്ഞപ്ര
Manjeri,മഞ്ചേരി
Manjeshwar,മഞ്ചശ്വരം
Manjeshwar,മഞ്ചശ്വരം
Manjoor,മാഞ്ഞൂര്‍
Mankada,മങ്കട
Mankada,മങ്കട
Mankara,മങ്കര
Mankulam,മാങ്കുളം
Mannancherry,മണ്ണഞ്ചരി
Mannar,മാന്നാര്‍
Mannarkkad,മണ്ണാര്‍ക്കാട്
Mannur,മണ്ണൂര്‍
Maradu,മരട്
Marady,മാറാടി
Marakkara,മാറാക്കര
Maranalloor,മാറനല്ലൂര്‍
Maranchery,മാറഞ്ചരി
Marangattupilly,മരങ്ങാട്ടുപിള്ളി
Mararikulam North,മാരാരിക്കുളം വടക്ക്
Mararikulam South,മാരാരിക്കുളം തെക്ക്
Maravanthuruthu,മറവന്‍തുരുത്ത്
